        node           T1           T3          T10     q_HL_int
  350.000000   346.846000   351.681000    30.000000   470.220000
  351.000000   347.058000   351.890000    30.000000   470.917000
  352.000000   347.271000   352.099000    30.000000   471.352000
  353.000000   347.483000   352.308000    30.000000   471.788000
  354.000000   347.696000   352.517000    30.000000   472.224000
  355.000000   347.908000   352.726000    30.000000   472.660000
  356.000000   348.121000   352.936000    30.000000   473.096000
  357.000000   348.333000   353.144000    30.000000   473.795000
  358.000000   348.546000   353.353000    30.000000   474.232000
  359.000000   348.758000   353.562000    30.000000   474.669000
  360.000000   348.970000   353.771000    30.000000   475.107000
  361.000000   349.182000   353.980000    30.000000   475.544000
  362.000000   349.395000   354.189000    30.000000   475.982000
  363.000000   349.607000   354.397000    30.000000   476.683000
  364.000000   349.819000   354.606000    30.000000   477.121000
  365.000000   350.031000   354.815000    30.000000   477.560000
  366.000000   350.243000   355.024000    30.000000   477.999000
  367.000000   350.455000   355.232000    30.000000   478.438000
  368.000000   350.667000   355.441000    30.000000   478.879000
  369.000000   350.878000   355.649000    30.000000   479.581000
  370.000000   351.090000   355.857000    30.000000   480.021000
  371.000000   351.302000   356.066000    30.000000   480.462000
  372.000000   351.514000   356.274000    30.000000   480.902000
  373.000000   351.725000   356.483000    30.000000   481.343000
  374.000000   351.937000   356.691000    30.000000   481.784000
  375.000000   352.149000   356.899000    30.000000   482.488000
  376.000000   352.360000   357.107000    30.000000   482.930000
  377.000000   352.572000   357.316000    30.000000   483.372000
  378.000000   352.783000   357.524000    30.000000   483.814000
  379.000000   352.994000   357.732000    30.000000   484.257000
  380.000000   353.206000   357.940000    30.000000   484.699000
  381.000000   353.417000   358.148000    30.000000   485.142000
  382.000000   353.628000   358.356000    30.000000   485.848000
  383.000000   353.840000   358.564000    30.000000   486.292000
  384.000000   354.051000   358.772000    30.000000   486.736000
  385.000000   354.262000   358.980000    30.000000   487.180000
  386.000000   354.473000   359.188000    30.000000   487.624000
  387.000000   354.684000   359.396000    30.000000   488.069000
  388.000000   354.895000   359.603000    30.000000   488.776000
  389.000000   355.106000   359.811000    30.000000   489.222000
  390.000000   355.317000   360.019000    30.000000   489.667000
  391.000000   355.528000   360.226000    30.000000   490.114000
  392.000000   355.739000   360.434000    30.000000   490.560000
  393.000000   355.949000   360.641000    30.000000   491.006000
  394.000000   356.160000   360.849000    30.000000   491.715000
  395.000000   356.371000   361.056000    30.000000   492.162000
  396.000000   356.581000   361.264000    30.000000   492.609000
  397.000000   356.792000   361.471000    30.000000   493.057000
  398.000000   357.002000   361.678000    30.000000   493.504000
  399.000000   357.213000   361.886000    30.000000   493.952000
  400.000000   357.423000   362.093000    30.000000   494.663000
  401.000000   357.634000   362.300000    30.000000   495.111000
  402.000000   357.844000   362.507000    30.000000   495.560000
  403.000000   358.054000   362.714000    30.000000   496.009000
  404.000000   358.265000   362.922000    30.000000   496.458000
  405.000000   358.475000   363.129000    30.000000   496.908000
  406.000000   358.685000   363.336000    30.000000   497.357000
  407.000000   358.895000   363.542000    30.000000   498.070000
  408.000000   359.105000   363.749000    30.000000   498.521000
  409.000000   359.315000   363.956000    30.000000   498.971000
  410.000000   359.525000   364.163000    30.000000   499.422000
  411.000000   359.735000   364.370000    30.000000   499.873000
  412.000000   359.945000   364.577000    30.000000   500.325000
  413.000000   360.155000   364.783000    30.000000   501.039000
  414.000000   360.365000   364.990000    30.000000   501.493000
  415.000000   360.574000   365.197000    30.000000   501.945000
  416.000000   360.784000   365.403000    30.000000   502.397000
  417.000000   360.994000   365.610000    30.000000   502.850000
  418.000000   361.203000   365.816000    30.000000   503.303000
  419.000000   361.413000   366.023000    30.000000   504.020000
  420.000000   361.623000   366.229000    30.000000   504.473000
  421.000000   361.832000   366.435000    30.000000   504.927000
  422.000000   362.041000   366.642000    30.000000   505.381000
  423.000000   362.251000   366.848000    30.000000   505.835000
  424.000000   362.460000   367.055000    30.000000   506.290000
  425.000000   362.669000   367.260000    30.000000   507.008000
  426.000000   362.879000   367.467000    30.000000   507.464000
  427.000000   363.088000   367.673000    30.000000   507.919000
  428.000000   363.297000   367.879000    30.000000   508.375000
  429.000000   363.506000   368.085000    30.000000   508.831000
  430.000000   363.715000   368.291000    30.000000   509.287000
  431.000000   363.924000   368.497000    30.000000   509.744000
  432.000000   364.133000   368.703000    30.000000   510.464000
  433.000000   364.342000   368.909000    30.000000   510.921000
  434.000000   364.551000   369.115000    30.000000   511.379000
  435.000000   364.760000   369.320000    30.000000   511.836000
  436.000000   364.969000   369.526000    30.000000   512.294000
  437.000000   365.177000   369.732000    30.000000   512.754000
  438.000000   365.386000   369.937000    30.000000   513.476000
  439.000000   365.595000   370.143000    30.000000   513.934000
  440.000000   365.803000   370.349000    30.000000   514.394000
  441.000000   366.012000   370.554000    30.000000   514.853000
  442.000000   366.220000   370.760000    30.000000   515.312000
  443.000000   366.429000   370.965000    30.000000   515.772000
  444.000000   366.637000   371.171000    30.000000   516.233000
  445.000000   366.846000   371.376000    30.000000   516.957000
  446.000000   367.054000   371.581000    30.000000   517.417000
  447.000000   367.262000   371.787000    30.000000   517.878000
  448.000000   367.470000   371.992000    30.000000   518.340000
  449.000000   367.678000   372.197000    30.000000   518.801000
  450.000000   367.887000   372.402000    30.000000   519.263000
  451.000000   368.095000   372.607000    30.000000   519.989000
  452.000000   368.303000   372.812000    30.000000   520.451000
  453.000000   368.511000   373.017000    30.000000   520.914000
  454.000000   368.719000   373.222000    30.000000   521.377000
  455.000000   368.927000   373.428000    30.000000   521.840000
  456.000000   369.134000   373.632000    30.000000   522.304000
  457.000000   369.342000   373.837000    30.000000   523.031000
  458.000000   369.550000   374.042000    30.000000   523.495000
  459.000000   369.758000   374.247000    30.000000   523.961000
  460.000000   369.965000   374.451000    30.000000   524.425000
  461.000000   370.173000   374.656000    30.000000   524.890000
  462.000000   370.381000   374.861000    30.000000   525.356000
  463.000000   370.588000   375.066000    30.000000   525.821000
  464.000000   370.796000   375.270000    30.000000   526.551000
  465.000000   371.003000   375.474000    30.000000   527.017000
  466.000000   371.210000   375.679000    30.000000   527.483000
  467.000000   371.418000   375.883000    30.000000   527.949000
  468.000000   371.625000   376.088000    30.000000   528.416000
  469.000000   371.832000   376.292000    30.000000   528.883000
  470.000000   372.039000   376.496000    30.000000   529.615000
  471.000000   372.247000   376.701000    30.000000   530.083000
  472.000000   372.454000   376.905000    30.000000   530.551000
  473.000000   372.661000   377.109000    30.000000   531.019000
  474.000000   372.868000   377.313000    30.000000   531.487000
  475.000000   373.075000   377.518000    30.000000   531.956000
  476.000000   373.282000   377.722000    30.000000   532.425000
  477.000000   373.488000   377.925000    30.000000   533.159000
  478.000000   373.695000   378.129000    30.000000   533.628000
  479.000000   373.902000   378.333000    30.000000   534.098000
  480.000000   374.109000   378.537000    30.000000   534.569000
  481.000000   374.315000   378.741000    30.000000   535.040000
  482.000000   374.522000   378.945000    30.000000   535.511000
  483.000000   374.729000   379.148000    30.000000   536.246000
  484.000000   374.935000   379.352000    30.000000   536.718000
  485.000000   375.142000   379.556000    30.000000   537.189000
  486.000000   375.348000   379.760000    30.000000   537.661000
  487.000000   375.554000   379.963000    30.000000   538.134000
  488.000000   375.761000   380.167000    30.000000   538.606000
  489.000000   375.967000   380.370000    30.000000   539.343000
  490.000000   376.173000   380.573000    30.000000   539.816000
  491.000000   376.379000   380.777000    30.000000   540.289000
  492.000000   376.586000   380.980000    30.000000   540.763000
  493.000000   376.792000   381.184000    30.000000   541.237000
  494.000000   376.998000   381.387000    30.000000   541.711000
  495.000000   377.204000   381.590000    30.000000   542.186000
  496.000000   377.410000   381.793000    30.000000   542.925000
  497.000000   377.616000   381.996000    30.000000   543.400000
  498.000000   377.822000   382.200000    30.000000   543.875000
  499.000000   378.027000   382.403000    30.000000   544.351000
  500.000000   378.233000   382.606000    30.000000   544.827000
  501.000000   378.439000   382.809000    30.000000   545.303000
  502.000000   378.645000   383.011000    30.000000   546.043000
  503.000000   378.850000   383.214000    30.000000   546.522000
  504.000000   379.056000   383.417000    30.000000   546.999000
  505.000000   379.261000   383.620000    30.000000   547.476000
  506.000000   379.467000   383.823000    30.000000   547.954000
  507.000000   379.672000   384.026000    30.000000   548.432000
  508.000000   379.878000   384.228000    30.000000   548.910000
  509.000000   380.083000   384.431000    30.000000   549.653000
  510.000000   380.288000   384.633000    30.000000   550.131000
  511.000000   380.493000   384.836000    30.000000   550.610000
  512.000000   380.699000   385.038000    30.000000   551.090000
  513.000000   380.904000   385.241000    30.000000   551.569000
  514.000000   381.109000   385.443000    30.000000   552.049000
  515.000000   381.314000   385.646000    30.000000   552.530000
  516.000000   381.519000   385.848000    30.000000   553.274000
  517.000000   381.724000   386.050000    30.000000   553.755000
  518.000000   381.929000   386.252000    30.000000   554.236000
  519.000000   382.134000   386.454000    30.000000   554.718000
  520.000000   382.338000   386.657000    30.000000   555.199000
  521.000000   382.543000   386.859000    30.000000   555.681000
  522.000000   382.748000   387.061000    30.000000   556.428000
  523.000000   382.953000   387.263000    30.000000   556.910000
  524.000000   383.157000   387.465000    30.000000   557.393000
  525.000000   383.362000   387.667000    30.000000   557.878000
  526.000000   383.566000   387.869000    30.000000   558.361000
  527.000000   383.771000   388.070000    30.000000   558.845000
  528.000000   383.975000   388.272000    30.000000   559.329000
  529.000000   384.180000   388.474000    30.000000   560.077000
  530.000000   384.384000   388.675000    30.000000   560.562000
  531.000000   384.588000   388.877000    30.000000   561.047000
  532.000000   384.793000   389.079000    30.000000   561.532000
  533.000000   384.997000   389.280000    30.000000   562.017000
  534.000000   385.201000   389.482000    30.000000   562.503000
